Feature ID	Domain	Phylum	Class	Order	Family	Genus	Species
f6d75f141f5cc029b6b4246a79cb750c	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f6dbbd036b038a501dab05f79e2ca3ab	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Syndinium	uncultured_eukaryote
f6e0fe84b2491cfc2a9ba71e9b3cd836	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f6fcede5d5b30f3e05e1f0fdd1ae39b4	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Gymnodiniphycidae	Katodinium	uncultured_eukaryote
f6fe1f146857b27cc9fb7835b5023dc2	Eukaryota	Holozoa	Choanoflagellida	Acanthoecida			
f701c6181ae0872b4e8d0cd5bb72f83b	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellales		
f701dbf0e69ec924129f54cc416dbafa	Eukaryota	Dinoflagellata	Dinophyceae				
f739ee9020d731e6f73c579aec142ee9	Eukaryota						
f742580d093ed9ab37487e5f6380fde5	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	uncultured_eukaryote
f74f457d89784c34123cd3ee886b31df	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellales	Bathycoccus	
f751c461e8e5fa178983cb7cd8b63133	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_III	Syndiniales_Group_III	uncultured_eukaryote
f762e286ac41f22ebff5315a5bb9d2a8	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_alveolate
f77246131676df675e1289050825fdc4	Eukaryota	Retaria	RAD_B	RAD_B	RAD_B	RAD_B	uncultured_eukaryote
f7a2dac9cc50e49dc6583c03d07c0fbb	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia		
f7a565228225c593cfabbea897d754f2	Eukaryota	Retaria	Polycystinea	Spumellaria	Spumellaria		
f7b76d318ae44c8e99ebd029dab32792	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f7bb83caaeb961fc17d007f4f79d8cff	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_V	Syndiniales_Group_V	uncultured_eukaryote
f84b96e8bdcee7f5abf1ca6937a5b1d4	Eukaryota	Retaria	Polycystinea	Spumellaria	Spumellaria	Spumellaria	
f84f6028d7c0de2f70ca9534bb4b3eba	Eukaryota	Diatomea	Bacillariophyceae	Bacillariophyceae	Bacillariophyceae	Bacillariophyceae	uncultured_marine
f854c7a8de97ee0322ffaf7000862fcc	Eukaryota	Dinoflagellata	Dinophyceae				
f88b0789e81a779defabdbec9d514176	Eukaryota	Dinoflagellata	Dinophyceae	Dinophysiales	Dinophysiales	Phalacroma	
f89f86f2469222f5129bd72b7354cce3	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	uncultured_eukaryote
f8bbad25870ed3f3bed52cefe4b1a339	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f8ea63efb3bc63b90f93809b022732e6	Eukaryota	Dinoflagellata	Dinoflagellata	Noctilucales	Noctilucales	Noctilucales	Blastodinium_sp.
f9185ff3ca9de307bf047aada06cd431	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f9271675e8eb7efad951389c6e982beb	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	
f94b5f5162c15f7ae59697fe62858bfb	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Choreotrichia	Choreotrichia	uncultured_marine
f95ed0244ca47134f972d79e7ea7749a	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	Kareniaceae	Karlodinium	uncultured_eukaryote
f9845fb79b2d425773609e7afdfdaeb8	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales	Amoebophrya	uncultured_eukaryote
f98bf6b433cae60b7e4644e35e8e24e9	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_I	Syndiniales_Group_I	Uncultured_marine
f9bb5f8f1a24f7b63066ca3dbc62508b	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	uncultured_eukaryote
f9c3aa18fe5417aa8c31b7e359b31210	Eukaryota	Cercozoa	uncultured	uncultured	uncultured	uncultured	uncultured_marine
f9c91da7e70cf092dd02c4b252953b2f	Eukaryota	Kathablepharidae	Kathablepharidae	Kathablepharidae	Kathablepharidae	Leucocryptos	uncultured_eukaryote
f9d287bb93f799a24f38e7d8f9d17d3b	Eukaryota	Protalveolata	Syndiniales	Syndiniales	Syndiniales_Group_II	Syndiniales_Group_II	
